"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000184254.17",238.299710890873,0.446405377880573,0.0316417812159092,202.919395348323,4.81700351612821e-46,6.90469284001817e-42,"ALDH1A3","220"
"ENSG00000113368.12",823.895315253837,-0.330524416821813,0.0233684671614284,193.244999693139,6.22369639155755e-44,4.4605232038293e-40,"LMNB1","4001"
"ENSG00000077152.11",441.51762619239,-0.260684066908454,0.0198874153123418,166.817130627725,3.66753756961736e-38,1.75234945076318e-34,"UBE2T","29089"
"ENSG00000175063.17",404.151669646018,-0.387298776535444,0.0316298985378009,154.590744841851,1.72039956933616e-35,6.16505185671613e-32,"UBE2C","11065"
"ENSG00000137807.15",338.499187365002,-0.465363516341258,0.0368494025567952,150.796742685635,1.16095053942682e-34,3.3282130064288e-31,"KIF23","9493"
"ENSG00000145386.10",490.515474575087,-0.456825150162882,0.0374496870922766,147.25544772838,6.90064041670837e-34,1.64856299555163e-30,"CCNA2","890"
"ENSG00000165272.16",889.556763680194,0.376968024073438,0.0333631664803957,125.353656312806,4.25865946723473e-29,8.72051782904894e-26,"AQP3","360"
"ENSG00000115163.15",102.098764437086,-0.420770355926438,0.0369743148007188,124.220955879432,7.53661555684378e-29,1.35037309239748e-25,"CENPA","1058"
"ENSG00000164104.12",1194.26893573395,-0.390657330654581,0.0346231548852569,121.994329066278,2.31498658888476e-28,3.47239851279931e-25,"HMGB2","3148"
"ENSG00000112029.10",87.4262588563901,-0.359545703989959,0.0328559539493879,121.904271050314,2.42249093958373e-28,3.47239851279931e-25,"FBXO5","26271"
"ENSG00000166851.15",247.951486160448,-0.566462875806278,0.0523786993431466,121.448378606035,3.04830693076541e-28,3.97222104959922e-25,"PLK1","5347"
"ENSG00000115107.20",548.115601641896,0.249272845416796,0.0228603283111634,118.003473572891,1.73084627754129e-27,2.04377964021463e-24,"STEAP3","55240"
"ENSG00000215784.6",86.6621602039623,-0.433546158683517,0.040215077358962,117.86759612482,1.85357439115322e-27,2.04377964021463e-24,"FAM72D","728833"
"ENSG00000117650.13",92.4142125970802,-0.400744863026114,0.0373584324444318,116.33042871038,4.02351386519997e-27,4.11950341026974e-24,"NEK2","4751"
"ENSG00000120802.13",1404.37045167141,-0.226526614965367,0.0211560546443222,113.3044344311,1.85062916306709e-26,1.76846122822691e-23,"TMPO","7112"
"ENSG00000182481.9",2966.84249420887,-0.260579358730001,0.0255330997727651,111.609668488185,4.35060768436634e-26,3.89760065923169e-23,"KPNA2","3838"
"ENSG00000077684.16",97.5430716162254,-0.3249824457248,0.0318105390960401,109.20057586327,1.46667533243751e-25,1.23666613030349e-22,"JADE1","79960"
"ENSG00000080986.13",143.713146694732,-0.41963806813692,0.039300747727132,107.208785655253,4.00656620763285e-25,3.19056222334496e-22,"NDC80","10403"
"ENSG00000143476.18",129.738292291557,-0.387729090573653,0.0381456718374198,104.968275661659,1.24107032956149e-24,9.36289584417602e-22,"DTL","51514"
"ENSG00000165244.7",146.940867794622,-0.410394429496568,0.0405641798697502,104.238150934443,1.79402694088863e-24,1.28577910853488e-21,"ZNF367","195828"
"ENSG00000112378.12",2778.66842625657,0.149854271153692,0.0146890862847304,103.975301317745,2.04853894850395e-24,1.39827415656455e-21,"PERP","64065"
"ENSG00000134057.15",772.143700241813,-0.330075773565107,0.0334711025742741,102.557477190935,4.19031932771039e-24,2.73018351106367e-21,"CCNB1","891"
"ENSG00000129195.16",85.4854647980801,-0.416637652821618,0.0425071276605935,101.255080051456,8.08690508741052e-24,5.03989989230184e-21,"PIMREG","54478"
"ENSG00000140451.13",18.8041134919207,-0.862661670550216,0.0960500489995984,101.16266056916,8.47316245405257e-24,5.0605962756829e-21,"PIF1","80119"
"ENSG00000096060.14",256.457554128877,-0.161064416678583,0.0161637284468885,100.94960552979,9.43537168981999e-24,5.40986471207519e-21,"FKBP5","2289"
"ENSG00000142945.13",351.783501866937,-0.338234728110029,0.0329833842647533,99.2821696001467,2.18970656147783e-23,1.20720207123935e-20,"KIF2C","11004"
"ENSG00000128050.8",2382.20929205144,-0.186826948875591,0.0187595225293805,97.9497942411839,4.29125898798066e-23,2.27818171606351e-20,"PAICS","10606"
"ENSG00000130066.16",610.857259649881,0.204832291216903,0.0204578011928917,96.5856224375755,8.54666663088549e-23,4.37528283882545e-20,"SAT1","6303"
"ENSG00000137804.14",422.718745401551,-0.398862651475941,0.0404581329560191,96.465294879021,9.08219697166494e-23,4.46400410942737e-20,"NUSAP1","51203"
"ENSG00000134533.6",274.836345943606,-0.203028184272323,0.0203982359240624,96.4092781370489,9.34282986485426e-23,4.46400410942737e-20,"RERG","85004"
"ENSG00000156970.12",236.622343332055,-0.4635447849862,0.045851844381771,95.4335766186131,1.52937619099109e-22,7.07163816827945e-20,"BUB1B","701"
"ENSG00000116016.14",342.300110525192,0.283773617312828,0.0290577385317623,93.9141840314733,3.29504405945851e-22,1.44125383076828e-19,"EPAS1","2034"
"ENSG00000155252.13",546.187418925473,0.23335791685825,0.0233358387338161,93.9003936396922,3.3180812345021e-22,1.44125383076828e-19,"PI4K2A","55361"
"ENSG00000111665.11",192.382567002263,-0.394283350435788,0.0405894622135448,91.9945945427568,8.691356197748e-22,3.66417352172117e-19,"CDCA3","83461"
"ENSG00000117399.14",312.086629068547,-0.393738630676186,0.0418769662182301,91.4187259302647,1.16270935487817e-21,4.76179311223535e-19,"CDC20","991"
"ENSG00000146410.12",94.4184773190791,-0.3656412472637,0.0385769901635498,91.1931574833223,1.30310086695384e-21,5.18851328525454e-19,"MTFR2","113115"
"ENSG00000152229.18",223.029834529929,0.333527333059005,0.0336040982467976,90.1579332898181,2.19887920973088e-21,8.51857691683309e-19,"PSTPIP2","9050"
"ENSG00000101361.17",617.563410351515,-0.134166780597779,0.0142337248705858,89.9738563746164,2.41327950610913e-21,9.10314432646532e-19,"NOP56","10528"
"ENSG00000196562.14",5412.80198821803,0.257282818522098,0.0259780610228369,88.9582426803023,4.03234932496304e-21,1.48204346728257e-18,"SULF2","55959"
"ENSG00000144354.14",154.224616704467,-0.37690777491328,0.0423530383014061,87.7284177165602,7.50877925346095e-21,2.69077104547773e-18,"CDCA7","83879"
"ENSG00000140534.14",247.134293269472,-0.347226030041721,0.0361848523320966,87.4802875361423,8.51239694234136e-21,2.97601701881759e-18,"TICRR","90381"
"ENSG00000115129.14",769.058647211742,0.560622193764964,0.0541603932243253,87.0416266326321,1.06260970494788e-20,3.62653512160069e-18,"TP53I3","9540"
"ENSG00000114480.13",295.35388008209,0.26443614302752,0.0280937364545238,83.9229028670546,5.14450830720294e-20,1.71491586221969e-17,"GBE1","2632"
"ENSG00000284946.1",260.022382111701,-0.316300607602581,0.034132293070394,81.7398804834388,1.5522936383598e-19,5.05694932096577e-17,NA,NA
"ENSG00000075218.19",82.3058036069472,-0.348964596186123,0.0382301881878886,79.3733738337475,5.14143631189434e-19,1.63771884654874e-16,"GTSE1","51512"
"ENSG00000109674.4",75.3349092315356,-0.356482697958501,0.0399673389463627,79.2913973213896,5.35925582447051e-19,1.66999071712957e-16,"NEIL3","55247"
"ENSG00000087586.17",558.670635087249,-0.274687859762374,0.0301489666514006,79.092215638344,5.92774360855415e-19,1.80783567840458e-16,"AURKA","6790"
"ENSG00000164904.18",849.568125161007,0.169177924914563,0.0187848739255931,78.9741195358519,6.29289366299367e-19,1.87921537011148e-16,"ALDH7A1","501"
"ENSG00000164109.14",430.517655239585,-0.40399176441095,0.0442119973958697,78.7192138131635,7.15958281631807e-19,2.09439714467558e-16,"MAD2L1","4085"
"ENSG00000076382.17",427.076253860595,-0.219332865204284,0.0247876069455555,78.618951142316,7.53233460716793e-19,2.1593696851829e-16,"SPAG5","10615"
"ENSG00000164045.12",84.6219080541143,-0.394472709226117,0.0451801474463305,78.3612584863813,8.58188457541074e-19,2.41201438243015e-16,"CDC25A","993"
"ENSG00000124098.10",676.592201371069,0.160312913092101,0.0179761628897387,77.7885224533662,1.14684637065025e-18,3.16132613017321e-16,"FAM210B","116151"
"ENSG00000134222.16",121.575791819776,-0.278638152499005,0.0313174851008206,77.0735027321275,1.64712395025486e-18,4.45469334017985e-16,"PSRC1","84722"
"ENSG00000187210.14",183.894532787884,-0.18714531203495,0.0215041431240266,76.5671090617325,2.12855386148784e-18,5.65012797232716e-16,"GCNT1","2650"
"ENSG00000157456.8",366.203549735798,-0.278526975700316,0.0317777526499253,76.3371577271496,2.3914153303416e-18,6.23246315365755e-16,"CCNB2","9133"
"ENSG00000178947.9",138.939603399509,0.388436953497115,0.0424848988777971,75.6340566514892,3.41421648229683e-18,8.7391748316505e-16,"SMIM10L2A","399668"
"ENSG00000276043.5",281.073871792692,-0.311810210199376,0.0371545610297021,74.4009596892931,6.37580030575318e-18,1.60334599267835e-15,"UHRF1","29128"
