"","x"
"AEN",0.114
"ANKRA2",0.268
"ASTN2",0.618
"BAX",0.444
"BTG2",0.612
"CAPN2",0.73
"CCNG1",0.118
"CDKN1A",0.874
"CSNK1G1",0.46
"DCP1B",0.078
"DDB2",0.396
"DDIT4",0.412
"E2F7",0.178
"FAM212B",0.37
"FAM214A",0.48
"FHL2",0.64
"GADD45A",0.386
"GATS",0.234
"HEG1",0.518
"HSPA4L",0.752
"IER5",0.15
"IKBIP",0.344
"KAZN",0.018
"MDM2",0.938
"NEAT1",0.018
"ORAI3",0.228
"PI4K2A",0.59
"PMAIP1",0.04
"PRKAB1",0.086
"PRKX",0.17
"PTP4A1",0.01
"RAP2B",0.346
"RBL2",0.026
"RNF19B",0.194
"RPS27L",0.22
"RRM2B",0.704
"SELENBP1",0.064
"SESN1",0.174
"SESN2",0.33
"SLC30A1",0.092
"ST6GALNAC2",0.636
"STEAP3",0.296
"SUSD6",0.312
"THNSL2",0.016
"TIGAR",0.372
"TP53INP1",0.56
"TP53TG1",0.594
"TSPAN1",0.06
"TTC39A",0.016
"TYMSOS",0.22
"UBR5-AS1",0.334
"XPC",0.052
"ZNF337",0.24
"ZNF79",0.334
